Setting,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S
Original,0.6716,0.7350,0.4454,0.8182,0.7750,0.6222,0.6605,0.7083,0.7731,0.5134,0.4160,0.5719,0.5639,0.6224
Translation 1,0.6244,0.7550,0.4236,0.7955,0.7500,0.5556,0.5647,0.5103,0.6958,0.3760,0.4169,0.3520,0.3531,0.4045
Translation 2,0.6294,0.7100,0.4145,0.7955,0.7750,0.5778,0.5661,0.5099,0.6919,0.3745,0.4163,0.3650,0.3743,0.4005
Dilation,0.6716,0.7350,0.4454,0.8182,0.7750,0.6222,0.6605,0.7083,0.7731,0.5134,0.4160,0.5719,0.5639,0.6224
Homothety,0.5821,0.6750,0.4232,0.8182,0.7000,0.6000,0.4565,0.3709,0.5764,0.3104,0.3742,0.2493,0.2816,0.2710
Reflection 1,0.6716,0.7350,0.4454,0.8409,0.7750,0.6222,0.6605,0.7083,0.7731,0.5134,0.4160,0.5719,0.5639,0.6224
Reflection 2,0.6716,0.7650,0.4454,0.8182,0.7750,0.6222,0.6605,0.7083,0.7731,0.5134,0.4160,0.5719,0.5639,0.6224
Rotation 1,0.6766,0.7600,0.4445,0.8182,0.8250,0.6222,0.6605,0.7086,0.7721,0.5133,0.4160,0.5719,0.5639,0.6226
Rotation 2,0.6393,0.7650,0.4265,0.8182,0.7750,0.6444,0.6594,0.6959,0.7542,0.5096,0.4127,0.5565,0.5411,0.6075
CDE,0.4080,0.3900,0.2793,0.5909,0.5750,0.5111,0.2299,0.4167,0.2944,0.2142,0.2050,0.2560,0.2700,0.3043
Thresholded-NNE (t=0.01),0.1567,0.2200,0.0895,0.4091,0.5500,0.3778,-0.0164,-0.0299,0.1102,0.0112,-0.0499,0.0864,0.1245,0.0890
Thresholded-NNE (t=0.05),0.1567,0.2350,0.0897,0.3864,0.4500,0.3333,-0.0115,-0.0527,-0.0841,0.0080,-0.0233,0.0591,0.0644,0.0482
Thresholded-NNE (t=0.075),0.1542,0.2250,0.0895,0.3864,0.4500,0.4000,-0.0147,-0.0037,0.0448,0.0172,0.0001,0.0455,0.0479,-0.0273
Weighted-NNE (k=5),0.3980,0.3950,0.2659,0.4545,0.5000,0.4667,0.2640,0.2561,0.2289,0.2756,0.1503,0.1790,0.0697,0.2708
Weighted-NNE (k=10),0.4254,0.4450,0.2825,0.5455,0.5750,0.4667,0.2720,0.2921,0.1013,0.2835,0.1139,0.2974,0.2188,0.3369
Weighted-NNE (k=15),0.3881,0.4000,0.2757,0.4773,0.6500,0.4222,0.2665,0.2577,0.3563,0.2785,0.0961,0.2795,0.2698,0.3180
Unweighted-NNE (k=5),0.3856,0.4050,0.2573,0.4773,0.6000,0.4667,0.2762,0.1831,0.2544,0.2643,0.1512,0.2346,0.1841,0.2496
Unweighted-NNE (k=10),0.4154,0.4250,0.2743,0.5000,0.5750,0.4889,0.2863,0.2999,0.2605,0.3046,0.1344,0.2494,0.1483,0.3197
Unweighted-NNE (k=15),0.4080,0.4350,0.2768,0.4773,0.6000,0.4444,0.2974,0.3636,0.1377,0.2902,0.1261,0.2355,0.1901,0.2389
Random encoding,0.1692,0.2150,0.0889,0.3864,0.5000,0.3778,-0.0075,0.0017,0.0707,-0.0079,-0.0669,0.0003,0.0729,-0.0266
