Setting,AP,BLESS,Battig,ESSLI_1a,ESSLI_2b,ESSLI_2c,MEN,MTurk,RG65,RW,SimLex999,WS353,WS353R,WS353S
Original,0.6020,0.7650,0.4127,0.7955,0.7500,0.6222,0.6672,0.6757,0.6573,0.4444,0.3764,0.5144,0.4787,0.6209
Translation 1,0.6070,0.7650,0.4315,0.7955,0.7750,0.6444,0.6709,0.6809,0.6509,0.4425,0.3797,0.5091,0.4721,0.6198
Translation 2,0.6318,0.7650,0.4259,0.7955,0.7500,0.6222,0.6675,0.6832,0.6500,0.4483,0.3779,0.5117,0.4738,0.6210
Dilation,0.6020,0.7650,0.4127,0.7955,0.7500,0.6667,0.6672,0.6757,0.6573,0.4444,0.3764,0.5144,0.4787,0.6209
Homothety,0.6294,0.7700,0.4299,0.7955,0.7500,0.6000,0.6750,0.6855,0.6428,0.4346,0.3773,0.4922,0.4465,0.6127
Reflection 1,0.6219,0.7650,0.4127,0.7955,0.7500,0.6222,0.6672,0.6757,0.6573,0.4444,0.3764,0.5144,0.4787,0.6209
Reflection 2,0.6219,0.7650,0.4181,0.7955,0.7500,0.6222,0.6672,0.6757,0.6573,0.4444,0.3764,0.5144,0.4787,0.6209
Rotation 1,0.6020,0.7650,0.4229,0.7955,0.7500,0.6222,0.6671,0.6753,0.6573,0.4444,0.3764,0.5146,0.4787,0.6209
Rotation 2,0.6095,0.7750,0.4181,0.7955,0.7500,0.6889,0.6740,0.6871,0.6443,0.4409,0.3768,0.5130,0.4752,0.6127
CDE,0.3109,0.4450,0.2694,0.4091,0.7500,0.5111,0.1646,0.3290,0.1929,0.1223,0.0739,0.1494,0.1553,0.2087
Thresholded-NNE (t=0.01),0.1567,0.2100,0.0912,0.3864,0.5250,0.3556,-0.0369,-0.0216,-0.3161,0.0108,-0.0499,-0.0352,-0.0284,-0.1183
Thresholded-NNE (t=0.05),0.1592,0.2200,0.0962,0.3864,0.4750,0.4000,-0.0164,-0.0271,-0.0899,-0.0113,-0.0257,-0.0071,0.0437,-0.0536
Thresholded-NNE (t=0.075),0.1542,0.2350,0.0916,0.4091,0.4750,0.4000,-0.0081,0.0616,-0.1367,-0.0118,-0.0204,-0.0640,-0.0807,-0.0761
Weighted-NNE (k=5),0.5100,0.5800,0.3546,0.5682,0.6250,0.5778,0.4072,0.3752,0.3459,0.2646,0.2226,0.2860,0.1916,0.4352
Weighted-NNE (k=10),0.5473,0.6100,0.3751,0.7273,0.5750,0.4667,0.4300,0.3900,0.4476,0.3288,0.2460,0.3797,0.3242,0.4194
Weighted-NNE (k=15),0.5249,0.6400,0.3718,0.7500,0.6250,0.4444,0.4180,0.3986,0.4164,0.2773,0.1981,0.3061,0.2319,0.3840
Unweighted-NNE (k=5),0.4701,0.6800,0.3500,0.5682,0.6750,0.5111,0.3925,0.3679,0.4856,0.2628,0.2124,0.2394,0.1542,0.3104
Unweighted-NNE (k=10),0.5174,0.6350,0.3655,0.6591,0.6500,0.5111,0.4601,0.3870,0.5060,0.2895,0.2551,0.3194,0.2697,0.3833
Unweighted-NNE (k=15),0.4851,0.5850,0.3741,0.7727,0.6750,0.5333,0.3587,0.3812,0.3311,0.2661,0.2186,0.2056,0.1788,0.2776
Random encoding,0.1567,0.2200,0.0918,0.4091,0.4500,0.4000,-0.0040,-0.0167,0.0504,0.0375,0.0031,-0.0066,0.0160,-0.0023
